classname,classoutline,teacher,test,remote,homework,numofunits,when,semester,unitclass,keyword
時系列データ解析特論AI,"時系列解析とは、株価、為替レートなどの金融・経済データ、気温や降水量などの気象データ、地震波などの地球・宇宙科学の
データ、脳波や心電図などの医学・生物データなど、私たちをとりまく実世界の現象が記録されたデータから、その現象の複
雑・不確実かつダイナミックなシステムを解明し、その将来の変動を予測・制御、また意味のある要約や統計情報を抽出するた
めの方法である。近年の IoT 化やデジタル化などの発展により日々生み出される時系列データは膨大であり、現代的なデータサ
イエンスの視点における時系列解析が求められている。言い換えると、時系列ビッグデータに対して適切にモデリングし、適切
な情報を取り出す手法として、従来の時系列モデリングに代表される統計科学的アプローチに加えて、機械学習の手法を組み合
わせた新たな時系列解析手法のニーズが高まっている。本講義で、時系列の探索的データ解析や具体的な前処理の手法をはじ
め、従来の統計的時系列解析における様々な時系列モデルやスペクトル推定、さらにはディープラーニングによる時系列解析な
ど近年高まっている機械学習アプローチについて学ぶ。",藤本　晶子,no,no,4,2,"月曜  4 限 , 木曜  5 限",第 2 クォーター,選必,時系列データ、スペクトル推定、自己回帰モデル、状態空間モデル、非定常時系列解析
時系列データ解析特論DS,"時系列解析とは、株価、為替レートなどの金融・経済データ、気温や降水量などの気象データ、地震波などの地球・宇宙科学の
データ、脳波や心電図などの医学・生物データなど、私たちをとりまく実世界の現象が記録されたデータから、その現象の複
雑・不確実かつダイナミックなシステムを解明し、その将来の変動を予測・制御、また意味のある要約や統計情報を抽出するた
めの方法である。近年の IoT 化やデジタル化などの発展により日々生み出される時系列データは膨大であり、現代的なデータサ
イエンスの視点における時系列解析が求められている。言い換えると、時系列ビッグデータに対して適切にモデリングし、適切
な情報を取り出す手法として、従来の時系列モデリングに代表される統計科学的アプローチに加えて、機械学習の手法を組み合
わせた新たな時系列解析手法のニーズが高まっている。本講義で、時系列の探索的データ解析や具体的な前処理の手法をはじ
め、従来の統計的時系列解析における様々な時系列モデルやスペクトル推定、さらにはディープラーニングによる時系列解析な
ど近年高まっている機械学習アプローチについて学ぶ。",藤本　晶子,no,no,4,2,"月曜  4 限 , 木曜  5 限",第 2 クォーター,選必,時系列データ、スペクトル推定、自己回帰モデル、状態空間モデル、非定常時系列解析
時系列データ解析特論MI,"時系列解析とは、株価、為替レートなどの金融・経済データ、気温や降水量などの気象データ、地震波などの地球・宇宙科学の
データ、脳波や心電図などの医学・生物データなど、私たちをとりまく実世界の現象が記録されたデータから、その現象の複
雑・不確実かつダイナミックなシステムを解明し、その将来の変動を予測・制御、また意味のある要約や統計情報を抽出するた
めの方法である。近年の IoT 化やデジタル化などの発展により日々生み出される時系列データは膨大であり、現代的なデータサ
イエンスの視点における時系列解析が求められている。言い換えると、時系列ビッグデータに対して適切にモデリングし、適切
な情報を取り出す手法として、従来の時系列モデリングに代表される統計科学的アプローチに加えて、機械学習の手法を組み合
わせた新たな時系列解析手法のニーズが高まっている。本講義で、時系列の探索的データ解析や具体的な前処理の手法をはじ
め、従来の統計的時系列解析における様々な時系列モデルやスペクトル推定、さらにはディープラーニングによる時系列解析な
ど近年高まっている機械学習アプローチについて学ぶ。",藤本　晶子,no,no,4,2,"月曜  4 限 , 木曜  5 限",第 2 クォーター,選必,時系列データ、スペクトル推定、自己回帰モデル、状態空間モデル、非定常時系列解析
暗号数学特論,"高度に情報化された社会では人・物と人・物がインターネットでつながれ，情報のやり取りが行われる．情報を安全かつ正確，
迅速に通信するためには情報セキュリティの技術が不可欠である．暗号理論は情報セキュリティ技術の基礎理論の一つであり，
RSA暗号や楕円曲線暗号のような公開鍵暗号システムは高度な数学（代数学）の基盤の上に構築されている．この講義では，
RSA暗号や ElGamal 暗号，楕円曲線暗号を中心に取り扱い，これらの暗号を理解するために必要な代数学（群論，可換環論，
有限体論）について解説する．また，属性ベース暗号や関数型暗号などの新しい暗号システムや耐量子コンピュータ暗号（ポス
ト量子暗号）についても時間の許す限り解説する．",佐藤　好久,no,no,4,2,"火曜  2 限 , 木曜  2 限",第 2 クォーター,選,初等整数論，群論，可換環論，有限体論， RSA 暗号， ElGamal 暗号、楕円曲線号
最適化アルゴリズム論,"情報工学，情報科学，システム工学において現れる最適化問題は，離散的構造を有しているものが多く，これらは離散最適化問
題として定式化される．扱う情報は爆発的に増え，これら大量の情報を処理するためには，高性能なアルゴリズムの設計技法や
効率の良いデータ構造の知識が必要不可欠である．本講義では，様々な組合せ最適化問題，グラフ・ネットワークに関する最適
化問題，計算幾何に関する最適化問題などを取り上げ，アルゴリズムの系統的設計手法，及び解析手法を概観する．",宮野　英次,no,no,4,2,"火曜  1 限 , 火曜  2 限",第 1 クォーター,選,数理最適化，組合せ最適化，データ構造，離散アルゴリズム，計算複雑さ
検索アルゴリズム論AI,"集合型データ構造の最も基本的な手続きであり、データベースシステムの根幹であり、またあらゆる高度な情報科学的技法、情
報システムに不可欠な構成要素、あるいはその目的自体といえることも少なくない検索の技法について、学部の授業科目であま
り扱わない高度な技法、特にアルゴリズミックな手法を中心に解説する。",下薗　真一,no,no,4,2,"火曜  5 限 , 金曜  3 限",第 2 クォーター,選必,情報検索，検索アルゴリズム，データ構造，二色木， B 木，文字列検索
検索アルゴリズム論DS,"集合型データ構造の最も基本的な手続きであり、データベースシステムの根幹であり、またあらゆる高度な情報科学的技法、情
報システムに不可欠な構成要素、あるいはその目的自体といえることも少なくない検索の技法について、学部の授業科目であま
り扱わない高度な技法、特にアルゴリズミックな手法を中心に解説する。",下薗　真一,no,no,4,2,"火曜  5 限 , 金曜  3 限",第 2 クォーター,選必,情報検索，検索アルゴリズム，データ構造，二色木， B 木，文字列検索
検索アルゴリズム論MI,"集合型データ構造の最も基本的な手続きであり、データベースシステムの根幹であり、またあらゆる高度な情報科学的技法、情
報システムに不可欠な構成要素、あるいはその目的自体といえることも少なくない検索の技法について、学部の授業科目であま
り扱わない高度な技法、特にアルゴリズミックな手法を中心に解説する。",下薗　真一,no,no,4,2,"火曜  5 限 , 金曜  3 限",第 2 クォーター,選必,情報検索，検索アルゴリズム，データ構造，二色木， B 木，文字列検索
画像認識特論AI,"画像認識とは、コンピュータを用いて画像データから文字や顔などのオブジェクトや、対象物の形状や数、明暗、色などの特徴
を捉え、対象物を識別するパターン認識技術の一つである。
深層学習の登場により人工知能（ AI ）の計算能力が飛躍的に向上し、音声認識からデータ分析、画像認識など、様々な分野で進
展している。特に画像認識は AI により大きく発展した分野の代表例である。本講義では画像認識について、基礎から応用につい
て講義する。具体的には、深層学習が主流となる以前のアルゴリズムや近年の深層学習を用いたアルゴリズム、画像認識の活用
事例について教授する。画像認識に関連する論文読みや演習を課す。",齊藤　剛史,no,no,4,2,"木曜  3 限 , 木曜  4 限",第 2 クォーター,選必,画像認識、画像処理、パターン認識、深層学習
画像認識特論CR,"画像認識とは、コンピュータを用いて画像データから文字や顔などのオブジェクトや、対象物の形状や数、明暗、色などの特徴
を捉え、対象物を識別するパターン認識技術の一つである。
深層学習の登場により人工知能（ AI ）の計算能力が飛躍的に向上し、音声認識からデータ分析、画像認識など、様々な分野で進
展している。特に画像認識は AI により大きく発展した分野の代表例である。本講義では画像認識について、基礎から応用につい
て講義する。具体的には、深層学習が主流となる以前のアルゴリズムや近年の深層学習を用いたアルゴリズム、画像認識の活用
事例について教授する。画像認識に関連する論文読みや演習を課す。",齊藤　剛史,no,no,4,2,"木曜  3 限 , 木曜  4 限",第 2 クォーター,選,画像認識、画像処理、パターン認識、深層学習
